VendorNumber,VendorName,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,total_Quantity,total_spend,unit_cost_incl_freight,avg_payment_days,margin_percent,risk_score,risk_band,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
1650,Circa Wines,13.1091,19.717,750.0,3320,42554.33999999999,2455.0,44618.750000000044,18.1746,347.06,211.97,3320,42766.31,12.8814,37.07,34.42,0.367,MEDIUM,2064.4100000000544,4.6267768595042496,0.7394578313253012,1.0485123256523319
3089,SIDNEY FRANK IMPORTING CO,14.5298,16.9515,636.54,186464,1715908.8800002022,188625.0,2256371.2500006994,11.9622,104874.33,8549.55,186464,1724458.4300000004,9.2482,36.33,25.75,0.365,MEDIUM,540462.3700004972,23.95272364866064,1.0115893684571822,1.3149714861318473
4425,MARTIGNETTI COMPANIES,11.0814,38.8703,783.85,2640411,27861690.02000456,2581318.0,41047306.29976941,15.9017,756323.75,144929.24,3136,40425.43000000001,12.8908,37.89,35.17,0.362,MEDIUM,13185616.27976485,32.12297582567293,0.9776197720733628,1.4732525654508983
3960,DIAGEO NORTH AMERICA INC,16.1072,48.3187,803.51,5459788,50959796.85000378,5422703.0,68742416.9899988,12.6768,3798654.94,257032.07,5459788,51216828.92,9.3807,35.62,27.7,0.354,MEDIUM,17782620.139995024,25.86848254489245,0.9932076117241182,1.3489539056118451
7245,PROXIMO SPIRITS INC.,13.6143,21.5988,840.57,682042,7588029.90000061,667654.0,10516246.86004616,15.751,673815.46,38994.78,682042,7627024.68,11.1826,35.53,28.0,0.349,MEDIUM,2928216.960045549,27.844695916853894,0.9789045249412793,1.3858995020624936
10000,MAJESTIC FINE WINES,8.2263,19.9475,768.75,446119,3506668.629999986,433515.0,5375429.09001067,12.3996,47740.17,17587.59,446119,3524256.220000001,7.8998,36.71,37.49,0.349,MEDIUM,1868760.460010684,34.764861162124916,0.971747448550723,1.5329161826193687
1273,CALEDONIA SPIRITS INC,31.1198,41.59,600.0,8202,259604.69999999853,7162.0,278648.37999998924,38.9065,5363.55,1319.77,8202,260924.46999999997,31.8123,35.24,22.47,0.344,MEDIUM,19043.67999999071,6.834304940151256,0.8732016581321629,1.0733564530996196
8150,SEA HAGG DISTILLERY LLC,12.8484,21.7122,716.67,15412,188044.45999999833,13160.0,213422.399999995,16.2175,10412.89,935.52,15412,188979.98000000004,12.2619,36.39,26.41,0.341,MEDIUM,25377.939999996655,11.890944905500666,0.853880093433688,1.1349571266284413
17037,Dunn Wine Brokers,14.0105,32.8186,750.0,5448,72055.3000000005,4117.0,83061.33000000098,20.1752,457.77,358.03,5448,72413.32999999999,13.2917,36.66,33.26,0.341,MEDIUM,11006.030000000479,13.250486116704788,0.755690161527166,1.1527442117373796
2450,DJINN SPIRITS LLC,19.3383,30.1567,625.0,2637,48830.77999999982,2177.0,56731.22999999985,26.0594,1149.66,251.28,2637,49082.05999999999,18.6128,36.27,32.68,0.341,MEDIUM,7900.4500000000335,13.92610384086517,0.825559347743648,1.1617924186343136
1601,VRANKEN AMERICA,17.0976,31.371,705.29,13094,208330.15000000238,13469.0,341658.30999998504,25.3663,1496.01,1048.97,13094,209379.11999999994,15.9905,35.81,37.05,0.336,LOW,133328.15999998266,39.02383056334514,1.0286390713303804,1.639984946969899
6830,PARK STREET IMPORTS LLC,15.2534,30.0733,750.0,4349,69459.4200000003,3503.0,77594.47000000057,22.1509,2332.49,360.29,4349,69819.71000000002,16.0542,36.44,26.01,0.331,LOW,8135.050000000265,10.484058979976544,0.8054725224189468,1.1171194634219552
9751,VINEDREA WINES LLC,22.72,29.99,750.0,205,4657.599999999999,440.0,11385.599999999944,25.8764,346.96,24.53,205,4682.13,22.8397,38.8,24.24,0.328,LOW,6727.9999999999445,59.09218662169739,2.1463414634146343,2.4445207832359896
54,AAPER ALCOHOL & CHEMICAL CO,105.07,134.49,3750.0,1,105.07,0.0,0.0,0.0,0.0,0.48,1,105.55,105.55,43.0,0.0,0.326,LOW,-105.07,-inf,0.0,0.0
2000,SOUTHERN WINE & SPIRITS NE,10.1868,69.9972,775.32,406875,3740617.380000152,400984.0,5769934.330017672,14.3894,51155.63,19016.59,402677,3718622.2900000005,9.2348,36.49,38.13,0.313,LOW,2029316.9500175198,35.170538067654306,0.985521351766513,1.542508560449836
7154,PREMIER DISTRIBUTORS,14.911,14.6329,750.0,5916,84530.86999999956,5566.0,109091.34000000363,19.5996,3438.74,432.37,5916,84963.24,14.3616,36.83,25.21,0.313,LOW,24560.470000004076,22.513675237652464,0.9408384043272482,1.2905503042853363
2555,DISARONNO INTERNATIONAL LLC,16.2087,19.0983,660.42,103095,1141947.8500000243,103394.0,1725427.160000128,16.6879,68878.53,5861.03,103095,1147808.88,11.1335,36.51,29.7,0.31,LOW,583479.3100001037,33.81651358728238,1.0029002376448906,1.5109509247730457
2561,EDRINGTON AMERICAS,33.5977,470.6775,839.84,62542,1882832.840000082,60304.0,2632023.960000953,43.6459,74517.89,9654.5,62542,1892487.3400000003,30.2595,35.2,28.98,0.292,LOW,749191.1200008711,28.464449085053158,0.9642160468165393,1.3979063377717793
1485,CASTLE BRANDS CORP.,15.7568,34.421,814.66,105220,1679383.9100000095,103675.0,2307511.2500005555,22.2572,110409.9,8497.59,105220,1687881.5,16.0415,35.69,26.16,0.292,LOW,628127.3400005461,27.220987113297706,0.9853164797567002,1.3740224830429288
